gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value,partition_assignment
ENSG00000075426,FOSL2,9,0.36673996167349393,6.853122316750403,0.7142857142857143,0.5134359463428915,0.29030916044227645,3.441979977622153e-28,1.2642426877605943e-22,Blast 2
ENSG00000059728,MXD1,9,0.3008238438664311,3.570151625858877,0.5535714285714286,0.5434237179522625,0.22971595961117913,1.2123356205815796e-22,4.4529208577523477e-17,Blast 2
ENSG00000115602,IL1RL1,9,0.22566265361859933,1.1644967625237226,0.26785714285714285,0.8424739068427709,0.19698776964626583,1.2149925477715658e-19,4.4626797778904386e-14,Blast 2
ENSG00000121966,CXCR4,9,0.3696980223598642,13.833063379339267,0.9285714285714286,0.39813633177216146,0.3315606338341669,5.822654121907148e-32,2.1386666816306174e-26,Blast 2
ENSG00000081320,STK17B,9,0.24274916024309298,4.277181294494818,0.625,0.38839865638894877,0.13183889971801965,1.1925504119614678e-13,4.380249588638591e-8,Blast 2
ENSG00000134107,BHLHE40,9,0.20969757487057694,2.4737234778750983,0.4642857142857143,0.451656315105858,0.12035920995587542,1.3684680538363015e-12,5.026396846421273e-7,Blast 2
ENSG00000163751,CPA3,9,0.25259342889620956,1.8687057917409364,0.375,0.6735824770565588,0.20100832747195652,5.195998034798331e-20,1.9084952741794618e-14,Blast 2
ENSG00000124882,EREG,9,0.20880219573642136,3.6383773280975418,0.35714285714285715,0.5846461480619798,0.1447872825429577,7.636621438307076e-15,2.8049386909116277e-9,Blast 2
ENSG00000158985,CDC42SE2,9,0.26588761839186803,4.561566292049568,0.6428571428571429,0.4136029619429058,0.1643986730330342,1.1967862386873548e-16,4.395807822561041e-11,Blast 2
ENSG00000161011,SQSTM1,9,0.2048075975056755,3.95090165604268,0.6428571428571429,0.31858959611993964,0.11981580028588057,1.5361778249696855e-12,5.642396512891905e-7,Blast 2
ENSG00000075624,ACTB,9,0.22655754367159955,27.41751012346058,0.9464285714285714,0.23938155557753915,0.11055427477751034,1.1035268552320486e-11,4.053265174535867e-6,Blast 2
ENSG00000233429,HOTAIRM1,9,0.2801551507998524,4.677837864755253,0.5,0.5603103015997049,0.21244255656433234,4.64436841336512e-21,1.705881162597422e-15,Blast 2
ENSG00000106004,HOXA5,9,0.5531249818496617,9.602162454016781,0.7321428571428571,0.755487780087343,0.48309777441229096,8.440279740925819e-46,3.100123189121794e-40,Blast 2
